Ident,ICAO,IATA,Name,Country or Area Code,Latitude,Longitude
00AL,,,Select 3M4 For Fse 00AL,,34.86480331,-86.77027893
00AZ,,,Cordes,,34.30549622,-112.1652145
00B,,,South River,,38.91449738,-76.5047226
00C,,,Animas Air Park,,37.20317841,-107.869194
00CA,,,Goldstone GTS,United States,35.35529327,-116.8852387
00CL,,,Natomas Field,,38.63821411,-121.5160828
00CO,,,Select 6V9 For Fse 00CO,,40.62220383,-104.3443985
00F,,,Broadus,United States,45.47047043,-105.4571381
00FA,,,Grass Patch,,28.64512253,-82.21887207
00FL,,,River Oak,,27.23047256,-80.96943665
00GA,,,Lt World,,33.76675797,-84.06832123
00HI,,,Kaupulehu Heliport,,19.83247948,-155.9814148
00I,,,Chapman Memorial Field,United States,40.2954483,-82.72997284
00IL,,,Hammer,United States,41.97775269,-89.56038666
00IS,,,Hayengas Cant Find Farms,United States,40.02996063,-89.11865997
00K,,,Redpath RLA,,38.18126678,-89.80844116
00KS,,,Hayden Farm,United States,38.7280426,-94.93016052
00M,,,Thigpen Field,United States,31.95375061,-89.2353363
00MD,,,Select 0N9 For Fse 00MD,,38.75705338,-75.75382233
00MI,,,Dow Chemical,,43.94944763,-86.41674805
00MN,,,Battle Lake Muni,United States,46.3061676,-95.70075226
00MO,,,Select 5K8 For Fse 00MO,,37.20282745,-94.41244507
00MT,,,Sands Ranch,,48.53702927,-109.7050476
00N,,,Bucks,United States,39.47312164,-75.18425751
00NC,,,North Raleigh,United States,36.08549881,-78.37140656
00NJ,,,Colgate-Piscataway,,40.52093506,-74.47459412
00NY,,,Select D99 For Fse 00NY,,42.90005493,-77.49971771
00OH,,,Select 64D For Fse 00OH,,41.59088516,-84.14216614
00OI,,,Miami Valley Hospital,United States,39.74542618,-84.18721008
00OR,,,Steel Systems,,44.93289566,-123.1303787
00PS,,,Thomas Field,,40.37730789,-77.3651123
00Q,,,Thayer Aviation,,39.07503891,-121.9173584
00R,,,Livingston Muni,United States,30.68586159,-95.01791382
00S,,,Mc Kenzie Bridge State,,44.18096161,-122.0861359
00TA,,,Sw Region FAA,,32.82694626,-97.30583191
00TN,,,Select 52M For Fse 00TN,,35.51590347,-85.95359802
00TS,,,Alpine Range,United States,32.60848236,-97.24227905
00UT,,,Clear Creek Ranch,United States,37.24790955,-112.8227692
00V,,,Select Kfly For Fse 00V,,38.94570541,-104.5687103
00VA,,,Virginia Beach Muni,United States,36.74775696,-76.04295349
00VI,,,Groundhog Mountain,,36.66130829,-80.50042725
00W,,,Lower Granite State,United States,46.6725769,-117.4413605
00WA,,,Howell,,47.17640686,-122.7728882
