"icao","lat","lon","type","size","name","city","state","country","elev","surfaceType","longestRwy","services"
"00AL","34.8647995","-86.77030182","civil","701","Epps Airpark","Harvest","Alabama","United States","9","5","2299","0"
"00AZ","34.305599213","-112.1650009","civil","518","Cordes","Cordes","Arizona","United States","3809","6","1699","0"
"00B","38.914699554","-76.50469971","water","999","South River","Edgewater","Maryland","United States","0","11","4999","0"
"00C","37.203201294","-107.8690033","civil","1528","Animas","Durango","Colorado","United States","6683","1","5012","0"
"00CA","35.350498199","-116.8880005","civil","1829","Goldstone (GTS)","Barstow","California","United States","3037","1","5999","0"
"00CL","38.638198853","-121.5149994","civil","823","Natomas Field","Sacramento","California","United States","21","1","2699","0"
"00CO","40.622200012","-104.3440018","civil","1189","Cass Field","Briggsdale","Colorado","United States","4829","5","3899","0"
"00FA","28.645500183","-82.21900177","civil","975","Grass Patch","Bushnell","Florida","United States","52","5","3199","0"
"00FL","27.230899811","-80.96920013","civil","1247","River Oak","Okeechobee","Florida","United States","34","5","4089","0"
"00GA","33.767501831","-84.06829834","civil","792","Lt World","Lithonia","Georgia","United States","699","5","2599","0"
"00IL","41.978401184","-89.56040192","civil","762","Hammer","Polo","Illinois","United States","839","5","2499","0"
"00IS","40.025600433","-89.12290192","civil","488","Hayenga's Cant Find Farms","Kings","Illinois","United States","819","5","1599","0"
"00KS","38.727798462","-94.93049622","civil","792","Hayden Farm","Gardner","Kansas","United States","1099","5","2599","0"
"00M","31.953800201","-89.23449707","civil","914","Thigpen","Bay Springs","Mississippi","United States","350","1","2999","0"
"00MD","38.757099152","-75.75379944","civil","518","Slater Fld","Federalsburg","Maryland","United States","44","5","1699","0"
"00MN","46.299999237","-95.70030212","civil","899","Battle Lake Muni","Battle Lake","Minnesota","United States","1364","5","2948","0"
"00MO","37.202800751","-94.41239929","civil","732","Cooper Flying Service","Alba","Missouri","United States","969","5","2399","0"
"00MT","48.537498474","-109.7050018","civil","610","Sands Ranch","Havre","Montana","United States","2599","5","1999","0"
"00N","39.473201752","-75.18520355","civil","579","Bucks","Bridgeton","New Jersey","United States","104","5","1899","0"
"00NC","36.085201263","-78.37139893","civil","808","North Raleigh","Louisburg","North Carolina","United States","347","1","2649","0"
"00NY","42.900100708","-77.49970245","civil","716","Weiss Airfield","West Bloomfield","New York","United States","999","5","2349","0"
"00OH","41.590900421","-84.14219666","civil","821","Exit 3","Wauseon","Ohio","United States","784","5","2694","0"
"00PS","40.377799988","-77.36530304","civil","945","Thomas Field","Loysville","Pennsylvania","United States","814","5","3099","0"
"00Q","39.074901581","-121.9179993","civil","549","Thayer Aviation","Grimes","California","United States","53","1","1799","0"
"00R","30.685899734","-95.01789856","civil","1128","Livingston Mun","Livingston","Texas","United States","149","1","3701","0"
"00S","44.183200836","-122.0889969","civil","792","McKenzie Bridge State","McKenzie Bridge","Oregon","United States","1619","5","2599","0"
"00TN","35.515899658","-85.95359802","civil","549","Ragsdale Road","Manchester","Tennessee","United States","1099","5","1799","0"
"00TS","32.607601166","-97.24199677","civil","366","Alpine Range","Everman","Texas","United States","669","5","1199","0"
"00UT","37.24779892","-112.8219986","civil","1036","Clear Creek Ranch","Kanab","Utah","United States","6137","1","3399","0"
"00V","38.945800781","-104.5699997","civil","3530","Meadow Lake","Colorado Springs","Colorado","United States","6873","1","6000","3"
"00VI","36.663299561","-80.49949646","civil","457","Groundhog Mountain","Hillsville","Virginia","United States","2679","5","1499","0"
"00W","46.673500061","-117.4430008","civil","1036","Lower Granite State","Colfax","Washington","United States","718","6","3399","0"
"00WA","47.178398132","-122.7720032","civil","337","Howell","Longbranch","Washington","United States","149","5","1104","0"
"00WI","44.304298401","-89.05010223","civil","305","Northern Lite","Waupaca","Wisconsin","United States","859","5","999","0"
"00WV","38.828899384","-79.8660965","civil","549","Lazy J. Aerodrome","Beverly","West Virginia","United States","2059","5","1799","0"
"00WY","41.258899689","-105.5889969","civil","1951","Evans","Laramie","Wyoming","United States","7224","5","3699","0"
"00XS","33.033401489","-101.9339981","civil","450","L P Askew Farms","O'Donnell","Texas","United States","3109","5","1474","0"
"00Y","45.550498962","-96.45140076","civil","760","Kapaun-Wilson","Graceville","Minnesota","United States","1121","5","2494","0"
"01A","62.943599701","-152.2700043","civil","305","Purkeypile","Purkeypile","Alaska","United States","1949","6","999","0"
"01AL","32.945999146","-86.51390076","civil","762","Ware Island","Clanton","Alabama","United States","343","5","2499","0"
"01C","43.341701508","-85.77500153","civil","767","Grant","Grant","Michigan","United States","814","5","2516","0"
"01CL","38.799900055","-120.7340012","civil","945","Swansboro Country","Placerville","California","United States","2593","2","3099","0"
"01FA","28.589399338","-81.14420319","civil","1067","Rybolt Ranch","Orlando","Florida","United States","54","5","1999","0"
"01FL","28.781900406","-81.15920258","civil","914","Cedar Knoll Flying Ranch","Geneva","Florida","United States","18","5","2999","0"
"01G","42.741298676","-78.05210114","civil","1625","Perry-Warsaw","Perry","New York","United States","1558","1","3499","0"
"01IA","41.66109848","-90.74130249","civil","785","Stender","Maysville","Iowa","United States","724","5","2574","0"
"01ID","43.672100067","-116.7710037","civil","762","Frank Field","Caldwell","Idaho","United States","2364","6","2499","0"
"01II","39.884998322","-86.50669861","civil","640","Myers Field","Lizton","Indiana","United States","949","5","2099","0"
"01IS","39.016201019","-90.31819916","civil","396","William E. Koenig","Dow","Illinois","United States","669","5","1299","0"
"01J","30.687999725","-81.90589905","civil","951","Hilliard","Hilliard","Florida","United States","58","5","3119","0"
"01K","37.03609848","-97.58640289","civil","750","Caldwell Mun","Caldwell","Kansas","United States","1156","5","2459","0"
"01KS","38.540599823","-97.00330353","civil","732","Flying N Ranch","Lost Springs","Kansas","United States","1484","5","2399","0"
"01LA","32.638999939","-91.7736969","civil","610","Barham","Oak Ridge","Louisiana","United States","89","5","1999","0"
"01LL","38.125801086","-89.46389771","civil","610","Schumaier Rla","Pinckneyville","Illinois","United States","554","5","1999","0"
"01LS","30.705999374","-91.07740021","civil","549","Country Breeze","Country Breeze","Louisiana","United States","124","4","1799","0"
"01M","34.491699219","-88.20110321","civil","914","Tishomingo Co","Belmont","Mississippi","United States","577","1","2999","0"
"01MD","38.999198914","-76.45600128","water","999","Annapolis","Annapolis","Maryland","United States","0","11","3499","0"
"01ME","46.778900146","-68.50029755","water","3048","Saint Peter's","Portage Lake","Maine","United States","607","11","4999","3"
"01MN","47.899600983","-92.55740356","water","6001","Barnes","Cook","Minnesota","United States","1357","11","9999","3"
"01MT","48.789100647","-114.8799973","civil","1524","Crystal Lakes Resort","Fortine","Montana","United States","3140","1","4999","0"
"01NC","34.475299835","-77.58139801","civil","610","Topsail Airpark","Holly Ridge","North Carolina","United States","64","1","1999","0"
"01NE","40.843601227","-100.6529999","civil","838","Detour","Wellfleet","Nebraska","United States","2999","5","2749","0"
"01NH","43.644500732","-72.08699799","civil","183","Moore Airfield","Enfield","New Hampshire","United States","834","5","599","0"
"01NV","38.763900757","-119.0270004","civil","610","Lantana Ranch","Yerington","Nevada","United States","4599","2","1999","0"
"01OH","41.282798767","-83.14800262","civil","762","Gillmor","Fremont","Ohio","United States","664","5","2499","0"
"01OK","35.294498444","-98.6364975","civil","805","Lawrence","Eakly","Oklahoma","United States","1524","1","2639","0"
"01OR","43.119300842","-121.0449982","civil","1463","Red &amp; White Flying Service","Silver Lake","Oregon","United States","4345","2","4799","0"
"01PN","40.930599213","-77.73889923","civil","518","Bierly(Personal Use)","Bellefonte","Pennsylvania","United States","959","5","1699","0"
"01PS","41.600898743","-76.02709961","civil","366","Nort's Resort","Meshoppen","Pennsylvania","United States","1059","5","1199","0"
"01SC","35.032100677","-81.25279999","civil","786","York","York","South Carolina","United States","778","5","2579","0"
"01TE","32.737598419","-96.4280014","civil","742","Smith Field","Forney","Texas","United States","504","5","2432","0"
"01TN","34.9958992","-89.73059845","civil","823","Colonial Air Park","Collierville","Tennessee","United States","369","5","2699","0"
"01TX","32.387599945","-96.87750244","civil","366","Mims Farm","Waxahachie","Texas","United States","609","5","699","0"
"01U","38.851600647","-115.6340027","civil","1859","Duckwater","Duckwater","Nevada","United States","5123","4","3399","0"
"01UT","38.308300018","-109.3960037","civil","975","La Sal Junction","La Sal","Utah","United States","5999","4","3199","0"
"01V","39.733001709","-104.6549988","civil","2176","Aurora","Aurora","Colorado","United States","5649","1","4839","0"
"01VA","39.125","-77.92500305","civil","457","Oehda","Berryville","Virginia","United States","499","5","1499","0"
"01WI","44.009998322","-90.3891983","civil","701","Prehn Cranberry Company","Tomah","Wisconsin","United States","929","5","2299","0"
"01WY","44.347198486","-104.810997","civil","2121","Keyhole","Moorcroft","Wyoming","United States","4249","4","4359","0"
"02A","32.850498199","-86.6115036","civil","1217","Gragg-Wade","Clanton","Alabama","United States","585","1","3991","0"
"02AK","61.876899719","-150.0980072","civil","671","Rustic Wilderness","Willow","Alaska","United States","189","2","2199","0"
"02AL","30.371500015","-87.76439667","civil","610","Bass Field","Foley","Alabama","United States","60","5","1999","0"
"02AR","36.09059906","-94.20960236","civil","610","Mount Comfort Airpark","Fayetteville","Arkansas","United States","1199","5","1999","0"
"02AZ","32.376399994","-109.9369965","civil","1372","Westchester Farm Airstrip","Wilcox","Arizona","United States","4199","5","4499","0"
"02C","43.087501526","-88.17790222","civil","2605","Capitol","Brookfield","Wisconsin","United States","849","1","3549","0"
"02CL","34.761100769","-119.0589981","civil","914","Conover Air Lodge","Frazier Park","California","United States","5159","4","2999","0"
"02CO","37.643299103","-106.0469971","civil","814","McCullough","Monte Vista","Colorado","United States","7614","6","2669","0"
"02FA","28.526699066","-81.87480164","civil","757","Klinger Aero","Groveland","Florida","United States","120","5","2484","0"
"02G","40.673301697","-80.6414032","civil","1067","Columbiana Co","East Liverpool","Ohio","United States","1159","1","3498","0"
"02GA","34.202598572","-83.42900085","civil","823","Doug Bolton Field","Commerce","Georgia","United States","883","5","1499","0"
"02ID","44.555500031","-115.3050003","civil","610","Morgan Ranch","Cascade","Idaho","United States","5633","5","1999","0"
"02II","40.062301636","-86.21050262","civil","335","King","Westfield","Indiana","United States","924","5","1099","0"
"02IN","40.208900452","-85.540802","civil","311","Diamond P. Field","Muncie","Indiana","United States","903","5","1019","0"
"02K","38.694000244","-90.51950073","civil","1678","Arrowhead","St Louis","Missouri","United States","450","5","2799","0"
"02KS","39.222198486","-96.05529785","civil","564","Jmj Landing","St Marys","Kansas","United States","1169","5","1849","0"
"02MD","39.270801544","-76.57219696","water","999","Hale Sea Port Base","Baltimore","Maryland","United States","0","11","4999","3"
"02ME","43.53730011","-70.92939758","civil","732","Old Acton Airfield","Acton","Maine","United States","699","5","2399","0"
"02MO","39.049999237","-91.03350067","civil","671","Troy Airpark","Troy","Missouri","United States","649","5","2199","0"
"02MS","34.100101471","-90.84680176","civil","655","Watts Field","Rochdale","Mississippi","United States","152","5","2149","0"
"02MT","47.237400055","-111.7419968","civil","671","Barrett Field","Cascade","Montana","United States","3349","5","2199","0"
"02NC","35.177200317","-81.6446991","civil","732","Oakridge Farm","Boiling Springs","North Carolina","United States","829","5","2399","0"
"02ND","48.808300018","-98.5236969","civil","762","Dresden Field","Dresden","North Dakota","United States","1599","5","2499","0"
"02NE","41.074501038","-96.90450287","civil","536","Benes Service","Valparaiso","Nebraska","United States","1549","5","1759","0"
"02NV","41.30329895","-118.5979996","civil","671","Paiute Meadows","Winnemucca","Nevada","United States","4442","5","2199","0"
"02OH","41.376399994","-83.08329773","civil","838","Zimmerman","Fremont","Ohio","United States","613","5","2749","0"
"02OI","41.801998138","-80.56539917","civil","457","Murtha","Conneaut","Ohio","United States","949","5","1499","0"
"02OR","45.681499481","-121.3160019","civil","610","Rowena Dell","The Dalles","Oregon","United States","704","5","1999","0"
"02PR","18.453300476","-66.36689758","civil","610","Cuylers","Vega Baja","","Puerto Rico","14","5","1999","0"
"02PS","41.900600433","-77.2303009","civil","152","Hughes","Tioga","Pennsylvania","United States","1679","5","499","0"
"02SC","32.758499146","-81.22480011","civil","1097","Harpers","Estill","South Carolina","United States","110","5","3599","0"
"02T","45.769100189","-112.9820023","civil","1234","Wise River","Wise River","Montana","United States","5829","5","4049","0"
"02TN","35.780601501","-86.584198","civil","488","Ellis Field","Murfreesboro","Tennessee","United States","839","5","1599","0"
"02TX","32.233501434","-97.40029907","civil","533","Grand Valley Lands","Rio Vista","Texas","United States","699","5","1749","0"
"02UT","41.366298676","-113.8430023","civil","2438","Lucin","Lucin","Utah","United States","4411","4","3999","0"
"02VA","38.435699463","-77.85720062","civil","914","The Greenhouse","Culpeper","Virginia","United States","319","5","2999","0"
"02WA","47.152301788","-122.0940018","civil","808","Cawleys South Prairie","South Prairie","Washington","United States","689","5","2649","0"
"02WI","45.031898499","-92.65579987","civil","671","Beer","Hudson","Wisconsin","United States","919","5","2199","0"
"02XS","30.147699356","-97.66280365","civil","860","Seidel Ranch","Encinal","Texas","United States","509","5","1499","0"
"02Y","48.683300018","-96.19200134","civil","2118","Greenbush Mun","Greenbush","Minnesota","United States","1069","5","2552","0"
